Date,Open,High,Low,Close,Adj_Close,Volume,Day
2013-09-26,41.105,41.494999,41.040001,41.200001,35.672466,9183000,0
2013-09-27,41.084999,41.290001,40.959999,41.189999,35.663799,5847400,1
2013-09-30,40.685001,41.169998,40.650002,41.009998,35.507957,4807800,2
2013-10-01,41.029999,41.610001,40.955002,41.465,35.901913,7874400,3
2013-10-02,41.25,41.549999,40.990002,41.465,35.901913,5780400,4
2013-10-03,41.404999,41.560001,40.924999,41.110001,35.59454,5491400,5
2013-10-04,41.224998,41.435001,40.950001,41.375,35.823986,4097600,6
2013-10-07,41.044998,41.060001,40.645,40.66,35.204899,6466800,7
2013-10-08,40.654999,40.689999,39.869999,39.875,34.525227,10808200,8
2013-10-09,40.134998,40.134998,39.549999,39.855,34.507908,8007200,9
2013-10-10,40.294998,40.665001,40.27,40.634998,35.183262,5804200,10
2013-10-11,40.5,40.900002,40.389999,40.875,35.391056,6614600,11
2013-10-14,40.424999,41.07,40.424999,41.025002,35.520943,4507600,12
2013-10-15,40.869999,41.044998,40.564999,40.669998,35.21357,7413000,13
2013-10-16,40.855,41.380001,40.855,41.360001,35.811001,9950000,14
2013-10-17,41.290001,41.549999,41.134998,41.535,35.962509,6843600,15
2013-10-18,41.75,41.959999,41.584999,41.924999,36.300194,6334200,16
2013-10-21,41.845001,41.974998,41.720001,41.900002,36.278557,3397200,17
2013-10-22,42.040001,42.314999,41.695,41.805,36.196304,6081000,18
2013-10-23,41.740002,41.805,41.395,41.705002,36.109707,3328400,19
2013-10-24,41.654999,41.955002,41.439999,41.939999,36.313183,4862400,20
2013-10-25,41.904999,42.075001,41.764999,41.98,36.347809,3930600,21
2013-10-28,42.400002,42.400002,41.855,42.014999,36.378113,3991600,22
2013-10-29,42.244999,42.334999,42,42.314999,36.637863,3002200,23
2013-10-30,42.380001,42.52,41.775002,42.025002,36.386784,4458200,24
2013-10-31,42,42.325001,41.855,42.084999,36.438721,4942000,25
2013-11-01,42.185001,42.360001,41.945,42.275002,36.603245,3068000,26
2013-11-04,42.474998,42.674999,42.369999,42.639999,36.919258,4989600,27
2013-11-05,42.685001,42.810001,42.18,42.695,36.966881,4515000,28
2013-11-06,42.77,42.814999,42.235001,42.349998,36.668167,5513200,29
2013-11-07,42.439999,42.650002,41.794998,41.84,36.226608,11516800,30
2013-11-08,41.970001,42.435001,41.814999,42.435001,36.741756,6906800,31
2013-11-11,42.325001,42.904999,42.325001,42.860001,37.109753,3913200,32
2013-11-12,42.825001,43.139999,42.755001,43.09,37.308895,8944400,33
2013-11-13,43,43.685001,43,43.654999,37.798096,12298800,34
2013-11-14,43.52,43.794998,43.375,43.744999,37.876022,7271600,35
2013-11-15,43.945,44.040001,43.650002,44.014999,38.109791,5412400,36
2013-11-18,44.200001,44.200001,43.584999,43.744999,37.876022,11233000,37
2013-11-19,43.740002,44.07,43.34,43.419998,37.594604,11396600,38
2013-11-20,43.549999,43.799999,43.27,43.435001,37.607605,9059400,39
2013-11-21,43.360001,43.884998,43.264999,43.775002,37.901993,5171800,40
2013-11-22,43.790001,43.790001,43.509998,43.735001,37.867344,4956200,41
2013-11-25,43.889999,43.955002,43.759998,43.825001,37.945274,4980600,42
2013-11-26,43.875,44.235001,43.875,44.044998,38.135769,2813000,43
2013-11-27,44.32,44.419998,44.075001,44.27,38.330574,2347000,44
2013-11-29,44.395,44.474998,44.195,44.23,38.295929,3432600,45
2013-12-02,44.23,44.325001,43.830002,43.935001,38.040516,8616000,46
2013-12-03,43.855,43.974998,43.654999,43.900002,38.010223,4717600,47
2013-12-04,43.650002,43.900002,43.150002,43.509998,37.67252,11526600,48
2013-12-05,43.305,43.66,43.305,43.375,37.555653,12833400,49
2013-12-06,43.654999,43.669998,43.09,43.125,37.339188,7874600,50
2013-12-09,43.25,43.404999,43.080002,43.195,37.399799,3963600,51
2013-12-10,43.005001,43.279999,42.959999,43.009998,37.239628,3526800,52
2013-12-11,42.950001,43.209999,42.709999,42.73,36.997192,5858400,53
2013-12-12,42.805,42.869999,42.549999,42.66,36.936577,6095200,54
2013-12-13,42.959999,42.959999,42.57,42.720001,36.988525,4819400,55
2013-12-16,42.814999,43.084999,42.775002,42.904999,37.148705,4182800,56
2013-12-17,42.865002,43.014999,42.665001,42.720001,36.988525,4139800,57
2013-12-18,42.860001,43.465,42.459999,43.450001,37.620579,18286200,58
2013-12-19,43.299999,43.435001,43.110001,43.224998,37.42577,8966200,59
2013-12-20,43.080002,43.665001,43,43.57,37.788303,11726400,60
2013-12-23,43.650002,43.91,43.59,43.77,37.961777,4265600,61
2013-12-24,43.705002,43.98,43.705002,43.855,38.035484,2495600,62
2013-12-26,43.990002,44.189999,43.939999,44.105,38.252323,1775600,63
2013-12-27,44.205002,44.215,43.764999,43.785,37.97477,5772200,64
2013-12-30,43.860001,44.125,43.685001,44.005001,38.165592,3488200,65
2013-12-31,44.049999,44.209999,43.939999,44.049999,38.204609,3501600,66
2014-01-02,43.959999,44.130001,43.645,43.720001,37.918407,3496000,67
2014-01-03,43.689999,43.955002,43.645,43.799999,37.987778,4769600,68
2014-01-06,43.75,43.924999,43.334999,43.380001,37.623516,5658200,69
2014-01-07,43.535,43.705002,43.259998,43.450001,37.684223,7025200,70
2014-01-08,43.404999,43.450001,43.084999,43.244999,37.506432,5277200,71
2014-01-09,43.34,43.34,42.654999,42.904999,37.211548,7345000,72
